epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,389.46,1.22626,0.6588,1.00789,0.97588,0.96637,0.9896,0.76111,0.94199,0.43258,0.95523,0.007327,0.007327,0.007327
56,583.804,1.22843,0.65949,1.00387,0.97711,0.96408,0.98962,0.76172,0.94118,0.4322,0.95498,0.0072775,0.0072775,0.0072775
57,777.573,1.22561,0.65915,1.00695,0.97624,0.96551,0.98966,0.76199,0.94097,0.43173,0.95487,0.007228,0.007228,0.007228
58,975.003,1.22968,0.65951,1.00576,0.97516,0.96659,0.98967,0.76244,0.94028,0.43153,0.95462,0.0071785,0.0071785,0.0071785
59,1162.66,1.22293,0.65403,1.00521,0.97496,0.96636,0.98967,0.76208,0.93977,0.43138,0.95447,0.007129,0.007129,0.007129
60,1343.83,1.22647,0.65489,1.00328,0.97551,0.96617,0.9897,0.76186,0.93968,0.43111,0.95441,0.0070795,0.0070795,0.0070795
61,1526.23,1.22503,0.65592,1.00479,0.97591,0.96567,0.98969,0.76207,0.93963,0.43069,0.95433,0.00703,0.00703,0.00703
62,1708.61,1.22232,0.65358,1.00333,0.97681,0.9656,0.9897,0.76206,0.93932,0.4306,0.95419,0.0069805,0.0069805,0.0069805
63,1900.47,1.22269,0.65339,1.00344,0.97534,0.96651,0.9897,0.76206,0.93906,0.43046,0.95397,0.006931,0.006931,0.006931
64,2095.32,1.22348,0.65055,1.00283,0.97625,0.96564,0.98974,0.76226,0.93921,0.43021,0.95395,0.0068815,0.0068815,0.0068815
65,2291.41,1.22179,0.65322,0.99975,0.97664,0.96523,0.98971,0.76217,0.93929,0.43013,0.95381,0.006832,0.006832,0.006832
66,2478.51,1.22398,0.65198,1.00347,0.97637,0.96596,0.98972,0.76204,0.93897,0.43006,0.95363,0.0067825,0.0067825,0.0067825
